institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
California State University-Bakersfield,1167,2011,2011-1167,13149,236680,784207,784207
California State University-Stanislaus,0,2011,2011-0,2580,43866,298487,290156
California State University-San Bernardino,0,2011,2011-0,3602,64827,382422,382422
California State Polytechnic University-Pomona,0,2011,2011-0,7103,85236,367618,393137
California State University-Chico,0,2011,2011-0,3767,75333,346485,422681
California State University-Dominguez Hills,0,2011,2011-0,2368,37891,349022,349424
California State University-Fresno,1201,2011,2011-1201,35815,465590,2652779,1947390
California State University-Fullerton,1168,2011,2011-1168,11385,182160,1067877,1100643
California State University-East Bay,0,2011,2011-0,2362,40157,289275,263896
California State University-Long Beach,1253,2011,2011-1253,15144,257454,1500334,1528448
California State University-Los Angeles,0,2011,2011-0,3043,39565,372426,372426
California State University-Northridge,1169,2011,2011-1169,10780,204818,1023831,1023831
California State University-Sacramento,0,2011,2011-0,4064,60967,822895,822895
University of California-Berkeley,1143,2011,2011-1143,63579,1017256,6967208,5816679
University of California-Davis,1413,2011,2011-1413,16783,218175,798130,798130
University of California-Irvine,1414,2011,2011-1414,13787,193013,1340996,1364129
University of California-Los Angeles,1417,2011,2011-1417,51424,925640,12353487,6277088
University of California-Riverside,0,2011,2011-0,13296,252623,1292582,1292582
University of California-San Diego,0,2011,2011-0,4257,76634,429352,405799
University of California-Santa Barbara,1364,2011,2011-1364,16234,292216,1591579,1484962
University of California-Santa Cruz,0,2011,2011-0,2039,32621,56618,52293
California Maritime Academy,0,2011,2011-0,1715,22300,35000,38672
Canada College,0,2011,2011-0,1101,13212,41026,41023
College of the Canyons,0,2011,2011-0,2557,30689,81229,81229
Cerritos College,0,2011,2011-0,2888,37544,135040,122975
Cerro Coso Community College,0,2011,2011-0,0,0,,
Chabot College,0,2011,2011-0,652,10424,40589,40589
Chaffey College,0,2011,2011-0,2191,39446,143716,135722
Chapman University,0,2011,2011-0,1141,20543,97516,97516
Concordia University,0,2011,2011-0,3367,67334,556343,556343
San Diego Christian College,0,2011,2011-0,1399,22384,306507,306507
Citrus College,0,2011,2011-0,5343,64114,188315,167533
City College of San Francisco,0,2011,2011-0,1423,18495,52495,52495
Claremont McKenna College,0,2011,2011-0,1795,32312,107728,107728
Columbia College,0,2011,2011-0,583,9911,83265,83265
El Camino College-Compton Center,0,2011,2011-0,506,7088,16838,16838
Contra Costa College,0,2011,2011-0,859,11164,40113,38113
Cosumnes River College,0,2011,2011-0,1599,25579,46970,46970
Cuesta College,0,2011,2011-0,1281,15372,56384,45461
Cuyamaca College,0,2011,2011-0,1082,11906,62578,62578
Cypress College,0,2011,2011-0,452,5875,101997,101997
De Anza College,0,2011,2011-0,454,9980,71685,71685
College of the Desert,0,2011,2011-0,1380,19320,39432,51359
Diablo Valley College,0,2011,2011-0,1327,15924,61861,61861
Dominican University of California,0,2011,2011-0,4470,71523,334141,334141
East Los Angeles College,0,2011,2011-0,792,13456,53911,53911
El Camino Community College District,0,2011,2011-0,612,8562,23524,22611
Feather River Community College District,0,2011,2011-0,1705,30695,119907,119907
Foothill College,0,2011,2011-0,908,13619,56382,56382
Fresno City College,0,2011,2011-0,3554,56859,95349,93877
Fresno Pacific University,0,2011,2011-0,5782,92508,432901,387131
Fullerton College,0,2011,2011-0,998,15972,25798,21224
Gavilan College,0,2011,2011-0,830,13279,21737,21668
Glendale Community College,0,2011,2011-0,813,11377,35428,35428
Grossmont College,0,2011,2011-0,1440,17285,70221,70221
Hartnell College,0,2011,2011-0,939,15964,48924,40228
Holy Names University,0,2011,2011-0,2023,46536,240746,280576
Humboldt State University,0,2011,2011-0,4750,80755,424422,450908
Imperial Valley College,0,2011,2011-0,2785,38987,60406,52267
Irvine Valley College,0,2011,2011-0,3537,49520,182672,182672
Reedley College,0,2011,2011-0,1607,24103,71411,67707
University of La Verne,0,2011,2011-0,1423,22775,117663,112793
Laney College,0,2011,2011-0,0,0,,
Lassen Community College,0,2011,2011-0,775,13173,75636,75636
La Sierra University,0,2011,2011-0,563,8450,24780,24780
Long Beach City College,0,2011,2011-0,463,7400,78773,78773
Los Angeles Harbor College,0,2011,2011-0,619,8045,44206,44206
Los Angeles Pierce College,0,2011,2011-0,2309,39247,100125,100125
Los Angeles Southwest College,0,2011,2011-0,731,11688,38040,38040
Los Angeles Trade Technical College,0,2011,2011-0,1572,23574,46854,53533
Los Angeles Valley College,0,2011,2011-0,1590,22260,55836,59646
The Master's College and Seminary,0,2011,2011-0,2629,42062,454137,454137
Los Medanos College,0,2011,2011-0,711,10659,29232,29232
Loyola Marymount University,0,2011,2011-0,20606,370908,2273552,2273552
College of Marin,0,2011,2011-0,1180,14155,49716,46001
Mendocino College,0,2011,2011-0,771,15418,39918,37916
Menlo College,0,2011,2011-0,1711,25667,86421,84170
Merced College,0,2011,2011-0,810,11345,17045,17045
Merritt College,0,2011,2011-0,887,14189,67190,67190
Miracosta College,0,2011,2011-0,1493,20895,39953,39953
Mission College,0,2011,2011-0,0,0,,
