institution_name,TeamID,year,lookup,opexpperpart_men,opexpperteam_men,rev_men,exp_men
Pennsylvania State University-Penn State Harrisburg,0,2012,2012-0,2455,31909,51478,51478
Pennsylvania State University-Brandywine,0,2012,2012-0,2397,23972,36272,36272
Pennsylvania State University-Penn State Dubois,0,2012,2012-0,1470,22048,39051,28748
Pennsylvania State University-Penn State Fayette- Eberly Campus,0,2012,2012-0,1032,14442,25258,25258
Pennsylvania State University-Penn State Hazleton,0,2012,2012-0,838,13403,20685,20685
Pennsylvania State University-Main Campus,1336,2012,2012-1336,76603,1149044,9485900,4851361
Pennsylvania State University-Penn State Greater Allegheny,0,2012,2012-0,1771,21248,29248,29248
Pennsylvania State University-Penn State Mont Alto,0,2012,2012-0,659,7906,16403,16403
Pennsylvania State University-Penn State Abington,0,2012,2012-0,1242,14900,25771,23325
Pennsylvania State University-Penn State Schuylkill,0,2012,2012-0,632,8850,13749,13749
Pennsylvania State University-Penn State York,0,2012,2012-0,579,10430,21645,18810
University of Pennsylvania,1335,2012,2012-1335,10006,180108,1224141,1073761
Philadelphia University,0,2012,2012-0,1965,23575,363366,438818
Philadelphia Biblical University-Langhorne,0,2012,2012-0,1321,14533,33273,28183
University of the Sciences,0,2012,2012-0,1757,19322,242697,242697
University of Pittsburgh-Bradford,0,2012,2012-0,1539,26169,108294,103173
University of Pittsburgh-Greensburg,0,2012,2012-0,1488,25295,66746,66718
University of Pittsburgh-Johnstown,0,2012,2012-0,4010,52126,254694,254694
University of Pittsburgh-Pittsburgh Campus,1338,2012,2012-1338,78580,1257283,13574317,7181490
University of Pittsburgh-Titusville,0,2012,2012-0,557,7799,51289,51289
Point Park University,0,2012,2012-0,3806,49473,355567,355126
Robert Morris University,1352,2012,2012-1352,17323,242520,1164410,1164410
Rosemont College,0,2012,2012-0,1350,24295,38345,38345
Saint Francis University,0,2012,2012-0,12661,189909,1405344,1405344
Saint Joseph's University,1386,2012,2012-1386,33584,470180,3020790,3020790
Saint Vincent College,0,2012,2012-0,8926,133883,268208,268208
University of Scranton,0,2012,2012-0,2548,40763,216808,216808
Seton Hill University,0,2012,2012-0,2477,29728,376328,376328
Shippensburg University of Pennsylvania,0,2012,2012-0,3559,46272,287457,308790
Slippery Rock University of Pennsylvania,0,2012,2012-0,3333,43334,365390,365390
Susquehanna University,0,2012,2012-0,1667,33330,133823,134387
Swarthmore College,0,2012,2012-0,2334,32669,155612,153221
Thaddeus Stevens College of Technology,0,2012,2012-0,1277,20435,38448,35749
Temple University,1396,2012,2012-1396,49713,695977,3089270,3089270
Thiel College,0,2012,2012-0,1851,29622,105953,108439
Ursinus College,0,2012,2012-0,4090,49076,206246,206246
Valley Forge Christian College,0,2012,2012-0,2054,28762,36927,36927
Villanova University,1437,2012,2012-1437,130516,1957747,8091225,6418855
Washington & Jefferson College,0,2012,2012-0,3176,50815,153414,153414
Waynesburg University,0,2012,2012-0,2426,36395,98249,94170
West Chester University of Pennsylvania,0,2012,2012-0,2530,37954,403173,262408
Westminster College,0,2012,2012-0,2534,48141,96223,89752
Westmoreland County Community College,0,2012,2012-0,1882,18817,27607,27607
Widener University-Main Campus,0,2012,2012-0,902,16227,163569,158594
Wilkes University,0,2012,2012-0,813,18693,120492,120276
Wilson College,0,2012,2012-0,0,0,,
York College Pennsylvania,0,2012,2012-0,1818,34548,96052,96052
Brown University,0,2012,2012-0,14133,169590,607950,607950
Bryant University,1136,2012,2012-1136,11035,176560,1367464,1367464
Johnson & Wales University-Providence,0,2012,2012-0,1873,29974,34849,34849
Providence College,1344,2012,2012-1344,46340,787780,5988360,5470933
Rhode Island College,0,2012,2012-0,1741,29603,116187,116187
Community College of Rhode Island,0,2012,2012-0,3232,45250,105915,105915
University of Rhode Island,1348,2012,2012-1348,53799,699381,2799348,2816066
Roger Williams University,0,2012,2012-0,1300,20806,99816,97337
Salve Regina University,0,2012,2012-0,1362,21792,68433,68433
Aiken Technical College,0,2012,2012-0,3375,50618,170070,168529
Allen University,0,2012,2012-0,1427,19981,164700,164700
Anderson University,0,2012,2012-0,1625,43881,340264,340264
Charleston Southern University,0,2012,2012-0,14234,227737,1038928,793928
Benedict College,0,2012,2012-0,4267,64003,350562,349896
Southern Wesleyan University,0,2012,2012-0,1371,17825,231170,231269
College of Charleston,1158,2012,2012-1158,21773,326597,1682606,1682606
Citadel Military College of South Carolina,0,2012,2012-0,12506,262620,1543919,1377334
Claflin University,0,2012,2012-0,5058,85986,370457,370457
Clemson University,1155,2012,2012-1155,92786,1206217,7705630,4417665
Clinton Junior College,0,2012,2012-0,1008,15124,111976,105151
Coker College,0,2012,2012-0,1491,34299,246489,246489
Columbia College,0,2012,2012-0,0,0,,
Denmark Technical College,0,2012,2012-0,1934,32870,56754,53114
Erskine College and Seminary,0,2012,2012-0,1724,50000,334396,334396
Francis Marion University,0,2012,2012-0,2043,36765,379781,378775
Furman University,1202,2012,2012-1202,12903,206442,1488793,1488793
Lander University,0,2012,2012-0,2880,34562,563557,390825
Limestone College,0,2012,2012-0,1862,44681,347624,347624
Morris College,0,2012,2012-0,1227,19629,57064,57064
Newberry College,0,2012,2012-0,2653,53060,369141,367124
North Greenville University,0,2012,2012-0,1023,17385,301921,278127
Presbyterian College,0,2012,2012-0,13845,193831,968188,968188
University of South Carolina-Aiken,0,2012,2012-0,2982,53667,465175,463209
University of South Carolina-Columbia,1376,2012,2012-1376,46004,644061,7849818,4618566
University of South Carolina-Salkehatchie,0,2012,2012-0,536,17688,58931,63550
Coastal Carolina University,1157,2012,2012-1157,18887,245533,1247650,1247650
South Carolina State University,1354,2012,2012-1354,9677,135483,955451,955451
University of South Carolina-Upstate,0,2012,2012-0,9851,147770,739232,739232
Spartanburg Methodist College,0,2012,2012-0,1229,23344,93389,93389
Tri-County Technical College,0,2012,2012-0,0,0,,
Voorhees College,0,2012,2012-0,3964,71360,119679,137679
Winthrop University,1457,2012,2012-1457,9399,131584,1302611,1194539
Wofford College,1459,2012,2012-1459,24223,363347,983459,983459
Augustana College,0,2012,2012-0,6420,102717,620496,620496
Black Hills State University,0,2012,2012-0,3020,48325,203365,203365
Dakota State University,0,2012,2012-0,1961,25498,131973,131973
Dakota Wesleyan University,0,2012,2012-0,1630,35851,296971,299975
Mount Marty College,0,2012,2012-0,794,23020,202272,202272
Northern State University,0,2012,2012-0,3999,59981,296434,496931
Presentation College,0,2012,2012-0,2279,27344,63980,63980
South Dakota School of Mines and Technology,0,2012,2012-0,2859,51462,209524,203592
South Dakota State University,1355,2012,2012-1355,26443,317316,756437,756437
University of Sioux Falls,0,2012,2012-0,1440,36004,426208,428428
University of South Dakota,0,2012,2012-0,15033,225490,850526,768560
Austin Peay State University,1122,2012,2012-1122,11401,159613,795965,772284
Belmont University,1125,2012,2012-1125,12615,201844,1862820,1862820
Bethel University,0,2012,2012-0,1867,61597,490499,490499
Bryan College-Dayton,0,2012,2012-0,1141,42221,254853,254853
Carson-Newman College,0,2012,2012-0,3689,47957,386226,353256
Chattanooga State Community College,0,2012,2012-0,1846,23997,171467,171467
Christian Brothers University,0,2012,2012-0,2565,38476,359655,344314
Cleveland State Community College,0,2012,2012-0,2885,34620,131369,129513
Columbia State Community College,0,2012,2012-0,1347,18857,138412,138412
Cumberland University,0,2012,2012-0,4813,57752,485004,472680
Lipscomb University,1252,2012,2012-1252,16736,251033,1751594,1750964
Dyersburg State Community College,0,2012,2012-0,2542,43210,101382,101382
East Tennessee State University,1190,2012,2012-1190,26763,294389,1945000,1515349
Fisk University,0,2012,2012-0,3057,36678,58928,58928
Free Will Baptist Bible College,0,2012,2012-0,2620,31444,41090,41090
Freed-Hardeman University,0,2012,2012-0,1890,35912,449011,447109
Hiwassee College,0,2012,2012-0,665,15948,27948,27948
Jackson State Community College,0,2012,2012-0,1920,26880,153512,153512
Johnson Bible College,0,2012,2012-0,1152,12671,20831,20831
King College,0,2012,2012-0,888,29299,432060,432060
Lane College,0,2012,2012-0,8033,80326,207075,207075
Le Moyne-Owen College,0,2012,2012-0,8640,95045,376815,376815
Lee University,0,2012,2012-0,4103,57443,444394,434608
Lincoln Memorial University,0,2012,2012-0,3574,71472,312705,390035
Martin Methodist College,0,2012,2012-0,3370,43809,296433,363376
Maryville College,0,2012,2012-0,1727,46624,157679,148074
University of Memphis,1272,2012,2012-1272,98202,1669442,6739131,6739131
Victory University,0,2012,2012-0,5050,100993,275046,275046
Middle Tennessee State University,1292,2012,2012-1292,15621,312421,1528499,1546744
Milligan College,0,2012,2012-0,1527,18324,262530,257768
Motlow State Community College,0,2012,2012-0,2840,45441,163024,163024
Rhodes College,0,2012,2012-0,5135,56485,127585,127424
Roane State Community College,0,2012,2012-0,1638,19659,207630,207630
Southwest Tennessee Community College,0,2012,2012-0,2638,52751,388909,388909
Sewanee-The University of the South,0,2012,2012-0,4893,68495,112953,135076
Tennessee Wesleyan College,0,2012,2012-0,1464,26344,241636,240636
The University of Tennessee at Chattanooga,1151,2012,2012-1151,17439,296455,1258943,1258943
The University of Tennessee,1397,2012,2012-1397,75781,1364051,13785893,6863233
The University of Tennessee-Martin,0,2012,2012-0,9829,117947,795218,795218
Tennessee State University,0,2012,2012-0,14295,157241,1180970,1108350
Tennessee Technological University,0,2012,2012-0,16166,258652,1011077,1011077
Tennessee Temple University,0,2012,2012-0,788,19709,70509,70509
Trevecca Nazarene University,0,2012,2012-0,3302,49527,385513,384982
Tusculum College,0,2012,2012-0,2431,34027,368517,368372
Union University,0,2012,2012-0,3919,47030,576418,540906
Vanderbilt University,1435,2012,2012-1435,67053,1072851,8732026,7411745
Volunteer State Community College,0,2012,2012-0,1949,29240,143114,143114
Walters State Community College,0,2012,2012-0,1718,32638,107562,107562
Abilene Christian University,1101,2012,2012-1101,4075,69280,538837,509276
Angelina College,0,2012,2012-0,6794,101909,257237,257237
Angelo State University,0,2012,2012-0,2873,40216,317230,340870
Arlington Baptist College,0,2012,2012-0,862,7755,9755,9755
Austin College,0,2012,2012-0,3318,63035,108667,108667
Baylor University,1124,2012,2012-1124,81654,1061503,5923372,5923372
Coastal Bend College,0,2012,2012-0,2049,24590,51912,57215
Blinn College,0,2012,2012-0,2497,32457,227910,226997
Brookhaven College,0,2012,2012-0,853,14509,65302,65302
Cedar Valley College,0,2012,2012-0,960,12480,64376,64739
Cisco College,0,2012,2012-0,0,0,,
Clarendon College,0,2012,2012-0,1280,32012,121926,121926
Concordia University-Texas,0,2012,2012-0,2638,52769,132786,129451
Texas A & M University-Corpus Christi,1394,2012,2012-1394,29456,441835,1404838,1404838
Dallas Baptist University,0,2012,2012-0,8549,111132,614731,608726
Dallas Christian College,0,2012,2012-0,2477,24768,40748,40748
University of Dallas,0,2012,2012-0,3673,62438,112806,112806
East Texas Baptist University,0,2012,2012-0,2394,43092,147150,147150
Texas A & M University-Commerce,0,2012,2012-0,3122,49954,343642,343642
Eastfield College,0,2012,2012-0,919,19293,72316,72316
Frank Phillips College,0,2012,2012-0,1267,27866,125623,125623
Grayson County College,0,2012,2012-0,3241,38888,111988,111988
Hardin-Simmons University,0,2012,2012-0,3115,46721,135907,124849
Trinity Valley Community College,0,2012,2012-0,3477,59104,278741,275651
Hill College,0,2012,2012-0,1609,19308,131367,183249
Houston Baptist University,0,2012,2012-0,25310,379650,1271045,1134423
University of Houston,1222,2012,2012-1222,28191,422859,2612741,2612741
Howard College,0,2012,2012-0,2600,31202,229262,229262
Howard Payne University,0,2012,2012-0,2691,59191,153361,151614
Huston-Tillotson University,0,2012,2012-0,2676,53513,115785,116895
University of the Incarnate Word,0,2012,2012-0,4953,74291,521442,473690
Jacksonville College-Main Campus,0,2012,2012-0,1324,19855,249781,239378
Jarvis Christian College,0,2012,2012-0,3630,61716,204693,204693
Kilgore College,0,2012,2012-0,3115,40489,289743,289642
Lamar University,1249,2012,2012-1249,16950,254254,1394579,1394579
Lamar State College-Port Arthur,0,2012,2012-0,7535,113023,468325,468323
Texas A & M International University,0,2012,2012-0,1103,19862,429810,429810
Lee College,0,2012,2012-0,3510,52652,219793,219793
LeTourneau University,0,2012,2012-0,1724,34484,123251,120900
Lon Morris College,0,2012,2012-0,3840,49918,440923,428728
Lubbock Christian University,0,2012,2012-0,4856,58267,404754,404754
University of Mary Hardin-Baylor,0,2012,2012-0,4522,90444,247691,247691
McLennan Community College,0,2012,2012-0,1300,19500,194936,194963
McMurry University,0,2012,2012-0,6207,105511,310427,308127
Midland College,0,2012,2012-0,1912,28675,253557,253557
Midwestern State University,0,2012,2012-0,6300,107094,362148,387124
Mountain View College,0,2012,2012-0,990,16830,61117,61117
Navarro College,0,2012,2012-0,1809,27135,221571,218602
North Lake College,0,2012,2012-0,2361,35420,94878,94878
University of North Texas,1317,2012,2012-1317,34592,484285,1863022,1863022
Odessa College,0,2012,2012-0,2404,31258,223592,223592
Our Lady of the Lake University-San Antonio,0,2012,2012-0,2407,45725,416100,532891
The University of Texas-Pan American,0,2012,2012-0,17395,243526,821159,821159
Panola College,0,2012,2012-0,1990,25875,167227,164978
Paris Junior College,0,2012,2012-0,2761,35898,243468,243468
Paul Quinn College,0,2012,2012-0,2560,28156,63586,63586
Prairie View A & M University,1341,2012,2012-1341,2947,47149,981481,613057
Ranger College,0,2012,2012-0,1324,18542,106548,106548
Rice University,0,2012,2012-0,35845,537673,3678909,3678909
Richland College,0,2012,2012-0,2440,34160,70297,70297
Saint Edward's University,0,2012,2012-0,4554,72866,610531,602284
University of St Thomas,0,2012,2012-0,2098,33563,152942,152940
Sam Houston State University,1358,2012,2012-1358,7688,138377,770674,770674
San Jacinto Community College,0,2012,2012-0,2192,32880,157697,167729
Schreiner University,0,2012,2012-0,2297,41345,100500,92329
St Marys University,0,2012,2012-0,4032,68551,602902,584835
South Plains College,0,2012,2012-0,5457,54569,136261,165142
Southern Methodist University,1374,2012,2012-1374,41003,615040,3235313,3235313
Southwestern Assemblies of God University,0,2012,2012-0,3004,33042,194447,185607
Southwestern University,0,2012,2012-0,3149,59833,120568,120308
Stephen F Austin State University,1372,2012,2012-1372,35258,458359,982366,982366
Texas State University-San Marcos,0,2012,2012-0,11835,224866,1003948,1003948
Southwestern Christian College,0,2012,2012-0,662,9265,107675,106832
Sul Ross State University,0,2012,2012-0,1930,34745,57851,57851
Tarleton State University,0,2012,2012-0,5431,86893,471327,467213
Temple College,0,2012,2012-0,3753,48789,178787,170381
Texas A & M University-Kingsville,0,2012,2012-0,5154,82465,367981,335543
Texas A & M University-College Station,1401,2012,2012-1401,70019,1190320,9786655,6340072
The University of Texas at Arlington,1426,2012,2012-1426,16017,240259,967116,967116
The University of Texas at Austin,1400,2012,2012-1400,153771,2152790,16437705,8195360
The University of Texas at Dallas,0,2012,2012-0,1916,32577,145742,121967
The University of Texas at El Paso,1431,2012,2012-1431,43131,690088,3451987,3451987
The University of Texas at Tyler,0,2012,2012-0,2087,43822,167044,162620
Texas Christian University,1395,2012,2012-1395,32570,618827,4341175,4341175
Texas College,0,2012,2012-0,3126,50017,99395,92642
Texas Lutheran University,0,2012,2012-0,3707,70441,142845,145036
The University of Texas of the Permian Basin,0,2012,2012-0,3435,48090,294606,246907
The University of Texas at San Antonio,1427,2012,2012-1427,22750,341252,431431,1388689
Texas Southern University,1411,2012,2012-1411,8456,143749,946691,946691
Texas Tech University,1403,2012,2012-1403,58161,988734,5448009,4473693
Texas Wesleyan University,0,2012,2012-0,7559,90710,460855,450530
Texas Woman's University,0,2012,2012-0,0,0,,
Trinity University,0,2012,2012-0,5884,100034,207623,199552
Tyler Junior College,0,2012,2012-0,3989,43879,228280,228280
Wayland Baptist University,0,2012,2012-0,5123,76850,434767,434767
Weatherford College,0,2012,2012-0,3894,50619,258223,234350
West Texas A & M University,0,2012,2012-0,5266,73724,312212,405253
Western Texas College,0,2012,2012-0,3055,39711,201099,201099
Wiley College,0,2012,2012-0,1666,21660,75226,75226
Brigham Young University-Provo,1140,2012,2012-1140,51100,868704,4843476,4926689
Brigham Young University-Hawaii,0,2012,2012-0,7611,129389,171444,392860
Utah State University-College of Eastern Utah,0,2012,2012-0,2260,33900,188800,188800
Dixie State College of Utah,0,2012,2012-0,5119,92137,416475,387337
Snow College,0,2012,2012-0,7418,111264,268538,268538
Southern Utah University,0,2012,2012-0,17978,251690,765094,765094
Utah State University,1429,2012,2012-1429,35237,563798,3981526,2662983
Utah Valley University,0,2012,2012-0,20785,332564,1093691,913191
Salt Lake Community College,0,2012,2012-0,2795,47520,376484,376484
University of Utah,1428,2012,2012-1428,49783,796524,6220172,3516570
Weber State University,1451,2012,2012-1451,23663,378613,1449375,1366622
Westminster College,0,2012,2012-0,7228,115648,322427,322427
Castleton State College,0,2012,2012-0,2787,44590,88216,77338
Green Mountain College,0,2012,2012-0,4212,21059,35770,35770
Johnson State College,0,2012,2012-0,2248,29223,88499,92005
Lyndon State College,0,2012,2012-0,2844,42660,56501,56501
Middlebury College,0,2012,2012-0,3512,63223,147793,147793
Norwich University,0,2012,2012-0,2568,43651,163682,163682
Saint Michael's College,0,2012,2012-0,5325,58578,634033,625475
College of St Joseph,0,2012,2012-0,2801,30814,117208,117208
Southern Vermont College,0,2012,2012-0,1310,23578,51491,51491
Vermont Technical College,0,2012,2012-0,8691,78218,110518,110518
University of Vermont,1436,2012,2012-1436,15412,215765,1671155,1380788
Averett University,0,2012,2012-0,1922,32676,130812,130812
Bluefield College,0,2012,2012-0,1986,33769,293155,278580
Bridgewater College,0,2012,2012-0,2470,51861,149384,149384
College of William and Mary,0,2012,2012-0,20707,289894,1323855,1483793
Christopher Newport University,0,2012,2012-0,3128,53169,279609,279609
Emory and Henry College,0,2012,2012-0,2807,47713,123037,123037
Eastern Mennonite University,0,2012,2012-0,2139,44928,121997,121997
Ferrum College,0,2012,2012-0,1848,35120,104522,104522
George Mason University,1206,2012,2012-1206,35697,499762,2662520,2435191
Hampton University,1214,2012,2012-1214,15390,215464,924867,864600
James Madison University,1241,2012,2012-1241,16798,319155,1955811,1966210
Liberty University,1251,2012,2012-1251,17957,305273,1720327,1720327
Longwood University,1255,2012,2012-1255,11508,172614,1322992,1009569
Lynchburg College,0,2012,2012-0,1367,25980,136119,136119
Mary Baldwin College,0,2012,2012-0,0,0,,
University of Mary Washington,0,2012,2012-0,2980,38741,104184,104184
Marymount University,0,2012,2012-0,1846,31377,114446,114446
Norfolk State University,1313,2012,2012-1313,13275,185855,945562,833224
Old Dominion University,1330,2012,2012-1330,40692,529001,2417397,2417397
Patrick Henry Community College,0,2012,2012-0,1583,17411,26252,24587
Radford University,1347,2012,2012-1347,12905,193580,1268507,1268507
Randolph-Macon College,0,2012,2012-0,4307,68916,218494,210176
Randolph College,0,2012,2012-0,2050,36892,100717,99867
University of Richmond,1350,2012,2012-1350,81760,1389921,4056940,4056940
Roanoke College,0,2012,2012-0,1777,30203,162204,144886
Shenandoah University,0,2012,2012-0,2602,41626,143311,143311
Southern Virginia University,0,2012,2012-0,2183,37113,87457,87457
The University of Virginia's College at Wise,0,2012,2012-0,3081,43128,208211,207261
Virginia Intermont College,0,2012,2012-0,1838,25735,283719,276485
Virginia Polytechnic Institute and State University,1439,2012,2012-1439,63747,956203,7858609,4782477
Virginia Commonwealth University,1433,2012,2012-1433,27263,381680,3221519,3221519
University of Virginia-Main Campus,1438,2012,2012-1438,91829,1285609,9170281,6981202
Virginia Military Institute,0,2012,2012-0,12319,147833,858506,1053792
Virginia State University,0,2012,2012-0,4806,81698,385922,392922
Virginia Union University,0,2012,2012-0,2739,49293,312451,312451
Virginia Wesleyan College,0,2012,2012-0,1983,41647,212251,212251
Washington and Lee University,0,2012,2012-0,1443,25982,162700,160352
Wytheville Community College,0,2012,2012-0,938,14063,18063,18063
Bellevue College,0,2012,2012-0,4606,50666,122729,122544
Big Bend Community College,0,2012,2012-0,2096,25147,57822,57822
Central Washington University,0,2012,2012-0,6320,101115,420761,418295
Centralia College,0,2012,2012-0,2531,27841,48610,41419
Clark College,0,2012,2012-0,1741,19154,64860,48316
Columbia Basin College,0,2012,2012-0,2080,29118,67907,65179
Eastern Washington University,1186,2012,2012-1186,13637,190920,1014110,915368
Edmonds Community College,0,2012,2012-0,956,18157,56989,54694
Everett Community College,0,2012,2012-0,836,13376,44508,42713
The Evergreen State College,0,2012,2012-0,3344,33440,95786,95786
Gonzaga University,1211,2012,2012-1211,57657,922507,6128191,5344461
Grays Harbor College,0,2012,2012-0,1280,19206,48426,46117
Green River Community College,0,2012,2012-0,1055,13720,26989,24389
Highline Community College,0,2012,2012-0,2120,31798,90107,68379
Lower Columbia College,0,2012,2012-0,1115,16730,56704,48510
Seattle Community College-North Campus,0,2012,2012-0,1999,23982,43726,43726
Northwest University,0,2012,2012-0,2279,27343,292663,292663
Olympic College,0,2012,2012-0,807,9688,35525,35974
Pacific Lutheran University,0,2012,2012-0,3604,50451,117408,105575
Peninsula College,0,2012,2012-0,2163,30283,64146,62858
University of Puget Sound,0,2012,2012-0,3499,62990,138881,133415
Saint Martin's University,0,2012,2012-0,4983,69756,284588,284588
Seattle Pacific University,0,2012,2012-0,8663,129944,738018,783064
Seattle University,0,2012,2012-0,44221,574874,1744469,1744469
Shoreline Community College,0,2012,2012-0,1341,21455,47025,44955
Skagit Valley College,0,2012,2012-0,1688,23634,47034,47034
South Puget Sound Community College,0,2012,2012-0,1452,17429,38704,36544
Spokane Falls Community College,0,2012,2012-0,5039,50389,94765,94765
Tacoma Community College,0,2012,2012-0,2000,20000,74113,53952
Walla Walla Community College,0,2012,2012-0,2948,38323,69572,69572
Walla Walla University,0,2012,2012-0,34,610,11025,28687
Washington State University,1450,2012,2012-1450,53656,912150,4503065,3229259
University of Washington-Seattle Campus,0,2012,2012-0,77398,1083568,10474040,5702562
Wenatchee Valley College,0,2012,2012-0,1660,19923,36680,35440
Western Washington University,0,2012,2012-0,8568,137092,574538,587860
Whatcom Community College,0,2012,2012-0,2053,32851,83993,63013
Whitman College,0,2012,2012-0,6020,84275,188711,187711
Whitworth University,0,2012,2012-0,7400,125798,266854,263345
Yakima Valley Community College,0,2012,2012-0,2915,34984,62253,63129
Alderson Broaddus College,0,2012,2012-0,3192,35112,354098,352536
Appalachian Bible College,0,2012,2012-0,2079,16633,23083,23083
Mountain State University,0,2012,2012-0,9689,145335,503161,503161
Bethany College,0,2012,2012-0,2219,31066,130340,130048
Bluefield State College,0,2012,2012-0,1303,29966,175186,167552
University of Charleston,0,2012,2012-0,3373,60710,482757,482757
Concord University,0,2012,2012-0,3771,45251,180242,225272
Davis & Elkins College,0,2012,2012-0,2410,31324,264623,264623
Fairmont State University,0,2012,2012-0,5690,79663,311894,295520
Glenville State College,0,2012,2012-0,2494,34912,235434,217044
Marshall University,1267,2012,2012-1267,35283,564534,2483894,2483894
Ohio Valley University,0,2012,2012-0,1077,24781,298798,295922
Potomac State College of West Virginia University,0,2012,2012-0,1845,25829,52026,52026
Salem International University,0,2012,2012-0,1314,48621,481505,305967
Shepherd University,0,2012,2012-0,4804,67251,318887,302162
West Virginia State University,0,2012,2012-0,853,15346,212090,200956
West Liberty University,0,2012,2012-0,2703,40539,373427,360314
West Virginia University Institute of Technology,0,2012,2012-0,3857,46289,276119,276119
West Virginia Wesleyan College,0,2012,2012-0,2598,62340,406110,406110
West Virginia University,1452,2012,2012-1452,93678,1592518,7968819,5333891
Wheeling Jesuit University,0,2012,2012-0,1438,38830,290698,257585
Madison Area Technical College,0,2012,2012-0,2802,33618,58730,58730
Beloit College,0,2012,2012-0,1919,34542,84191,84191
Cardinal Stritch University,0,2012,2012-0,5803,75435,264170,237879
Carroll University,0,2012,2012-0,970,19403,87245,87245
Carthage College,0,2012,2012-0,2095,52370,237209,237209
Concordia University-Wisconsin,0,2012,2012-0,1258,31460,73423,69300
Edgewood College,0,2012,2012-0,2508,45148,122867,104266
Lakeland College,0,2012,2012-0,974,20448,68436,68436
Lawrence University,0,2012,2012-0,1875,29992,98427,98327
Maranatha Baptist Bible College,0,2012,2012-0,564,12410,45355,39460
Marian University,0,2012,2012-0,1692,25374,107231,107231
Marquette University,1266,2012,2012-1266,187984,2819760,15568569,10348303
Milwaukee Area Technical College,0,2012,2012-0,3166,50655,95019,86330
Milwaukee School of Engineering,0,2012,2012-0,1477,20683,62146,58370
Mount Mary College,0,2012,2012-0,0,0,,
Northland International University,0,2012,2012-0,260,3375,32250,32250
Northland College,0,2012,2012-0,2220,26635,62448,55688
Ripon College,0,2012,2012-0,2714,46141,90324,79829
Saint Norbert College,0,2012,2012-0,2513,60317,183020,183020
Silver Lake College,0,2012,2012-0,885,11500,65982,65982
University of Wisconsin Colleges,0,2012,2012-0,675,116036,276834,275505
Viterbo University,0,2012,2012-0,1425,22807,152569,170261
Western Technical College,0,2012,2012-0,1166,13991,21836,21834
University of Wisconsin-Whitewater,0,2012,2012-0,2949,47184,113562,107156
University of Wisconsin-Eau Claire,0,2012,2012-0,2285,38849,144898,124604
University of Wisconsin-Green Bay,1453,2012,2012-1453,26977,377673,1153465,1352042
University of Wisconsin-La Crosse,0,2012,2012-0,2040,28561,115333,102690
Wisconsin Lutheran College,0,2012,2012-0,2249,42728,101323,101323
University of Wisconsin-Oshkosh,0,2012,2012-0,1737,31274,128543,122473
University of Wisconsin-Parkside,0,2012,2012-0,4442,71072,352389,352389
University of Wisconsin-Stout,0,2012,2012-0,1844,36879,165391,165391
University of Wisconsin-Superior,0,2012,2012-0,1451,23220,94910,94910
University of Wisconsin-Madison,1458,2012,2012-1458,83789,1424407,16353313,6394547
University of Wisconsin-Milwaukee,1454,2012,2012-1454,26189,523772,2318461,2318461
University of Wisconsin-Platteville,0,2012,2012-0,5023,75347,292772,248207
University of Wisconsin-River Falls,0,2012,2012-0,2636,50084,148854,154890
University of Wisconsin-Stevens Point,0,2012,2012-0,2000,36000,325266,367017
Casper College,0,2012,2012-0,5174,67259,289354,289354
Central Wyoming College,0,2012,2012-0,2091,27184,139057,139057
Eastern Wyoming College,0,2012,2012-0,2523,40375,163336,163336
Laramie County Community College,0,2012,2012-0,3667,55005,253536,253536
Northwest College,0,2012,2012-0,2069,33102,204128,195129
Sheridan College,0,2012,2012-0,2892,66524,441472,441472
Western Wyoming Community College,0,2012,2012-0,4040,52520,202144,202144
University of Wyoming,1461,2012,2012-1461,36775,551629,2496580,2670401
American University of Puerto Rico,0,2012,2012-0,638,12114,70741,70741
Bayamon Central University,0,2012,2012-0,227,3400,5600,5600
Caribbean University-Bayamon,0,2012,2012-0,1450,15950,103155,99502
Pontifical Catholic University of Puerto Rico-Ponce,0,2012,2012-0,337,4720,48800,48800
Universidad Metropolitana,0,2012,2012-0,1079,11866,33200,33200
Inter American University of Puerto Rico-San German,0,2012,2012-0,394,7489,84298,84298
University of Puerto Rico-Aguadilla,0,2012,2012-0,176,1760,15009,15009
University of Puerto Rico-Arecibo,0,2012,2012-0,101,808,23189,23189
University of Puerto Rico-Bayamon,0,2012,2012-0,1919,24951,84257,84257
University of Puerto Rico-Carolina,0,2012,2012-0,204,3674,41969,41969
University of Puerto Rico-Cayey,0,2012,2012-0,1559,18711,37103,36951
University of Puerto Rico-Humacao,0,2012,2012-0,295,4426,27617,27465
University of Puerto Rico-Utuado,0,2012,2012-0,67,674,10065,10065
University of Puerto Rico-Mayaguez,0,2012,2012-0,1352,20273,61226,61226
University of Puerto Rico-Ponce,0,2012,2012-0,149,2240,27178,27178
University of Puerto Rico-Rio Piedras,0,2012,2012-0,2077,31154,77264,77264
Universidad Del Este,0,2012,2012-0,318,3810,78385,78385
University of Sacred Heart,0,2012,2012-0,600,7800,74549,74549
Universidad Politecnica de Puerto Rico-Hato Rey Campus,0,2012,2012-0,572,7432,49725,49725
Universidad Del Turabo,0,2012,2012-0,512,9221,127447,127447
University of the Virgin Islands,0,2012,2012-0,2563,38450,40950,40950
